RXCUI	ATC
2176488	"[""R01BA02"", ""R05DA09"", ""R06AB04""]"
2183671	"[""R05DA03"", ""R06AB04""]"
1092378	"[""N02BE01"", ""N02BE51""]"
1094891	"[""C05AD01"", ""D04AB01"", ""N01BB02""]"
1099084	"[""R05FB02""]"
1099646	"[""N06AX24""]"
1111697	"[""A03BB03"", ""R01BA02"", ""R06AA08""]"
1112255	"[""R01BA02"", ""R06AA08""]"
1114105	"[""D08AJ01"", ""D08AJ08""]"
1116185	"[""R01BA02"", ""R06AB01""]"
1116976	"[""M02AC"", ""N01BX04""]"
1146022	"[""R01AX""]"
1146998	"[""R05CA03""]"
1148595	"[""S02DA03""]"
1148523	"[""R01AD09""]"
1147533	"[""R01AX""]"
1189827	"[""A10BH51""]"
1190641	"[""A07DA01""]"
1190744	"[""A03BA01"", ""N03AA02""]"
1232977	"[""J01BA01""]"
1234338	"[""D07XA01""]"
1234514	"[""D07XA01""]"
404668	"[""D10BA01""]"
425539	"[""R03DA04""]"
545144	"[""S02AA10""]"
577215	"[""D02AA""]"
582819	"[""D04AB04""]"
58930	"[""R06AE07""]"
606728	"[""A02BC05""]"
615979	"[""L01EX02""]"
616129	"[""J05AP01""]"
857752	"[""R01BA03"", ""R05DA03"", ""R06AB04""]"
857841	"[""R01BA03"", ""R05DA03"", ""R06AB04""]"
859174	"[""R01BA03"", ""R05DA03"", ""R06AB04""]"
1000050	"[""N06AA12""]"
1012080	"[""S01AB04"", ""S01BA04"", ""S01CB02"", ""S03BA02""]"
1012023	"[""S01AB04"", ""S01BA04"", ""S01CB02"", ""S03BA02""]"
1014197	"[""D04AB07"", ""D08AE05""]"
102377	"[""R03CC02""]"
1039483	"[""D08AX08""]"
1039625	"[""D01AE12""]"
1043268	"[""R05DA09"", ""R06AB04""]"
1046929	"[""A03BA01"", ""A03BA03"", ""A04AD01"", ""N03AA02"", ""N05CM05""]"
1047791	"[""G04BX12""]"
1048379	"[""A03BA03"", ""N03AA02""]"
1049165	"[""R01BA02""]"
1049534	"[""R01BA02""]"
1049680	"[""D10AE01""]"
1050350	"[""R05DA09""]"
1050421	"[""N02AA05""]"
1053772	"[""C05AA12"", ""D01AA01"", ""D07AB09"", ""D07XB02""]"
2173826	"[""R05CA03"", ""R05DA09""]"
244486	"[""C05AA05"", ""D07AC01"", ""D07XC01""]"
244549	"[""C05AD03"", ""D04AB04""]"
246504	"[""J01GB07""]"
252430	"[""A12CC10""]"
260309	"[""A07EA02""]"
260311	"[""A07EA02"", ""C05AA01""]"
282561	"[""D05BA02""]"
284425	"[""L01AB01""]"
1655041	"[""D08AC02""]"
1656346	"[""C09DX04""]"
1665188	"[""N05BA06""]"
1091467	"[""N02BE01"", ""N02BE51"", ""R01BA02""]"
1113048	"[""R01BA02"", ""R05DA04"", ""R06AE04""]"
1234396	"[""D07XA01""]"
1234506	"[""D07XA01""]"
858264	"[""H05BX03""]"
859419	"[""C10AA07""]"
1000558	"[""S01AB04"", ""S01BA07"", ""S01CB05""]"
1000726	"[""D10AB02"", ""D10AF06""]"
1010234	"[""D10AF06""]"
1011709	"[""N01BB02""]"
1012017	"[""S01AB04"", ""S01BA04"", ""S01CB02"", ""S03BA02""]"
1037328	"[""A01AC03"", ""A07EA02"", ""C05AA01"", ""H02AB09""]"
1043488	"[""D08AG02""]"
1045003	"[""D08AE05""]"
1045344	"[""C05AD03"", ""N01BA05""]"
1049900	"[""R06AA02""]"
238004	"[""G03CA03""]"
244095	"[""A12CA01"", ""B05CB01"", ""B05XA03"", ""V06DC01""]"
283709	"[""A02AA02"", ""A02AA04"", ""A12AA04""]"
858108	"[""G03BA03""]"
1047761	"[""D07AA02""]"
1046810	"[""A03BA01"", ""A03BA03"", ""A04AD01"", ""N03AA02"", ""N05CM05""]"
1012609	"[""B03AA07""]"
1053368	"[""C05AD03"", ""D04AB04""]"
311382	"[""S01BA14""]"
311944	"[""C10AD02""]"
1996082	"[""B05CX01"", ""V04CA02"", ""V06DC01""]"
199772	"[""V04CD01""]"
2043303	"[""A01AB""]"
206080	"[""J01FA01""]"
207239	"[""P02BA02""]"
207390	"[""J01CE01""]"
208003	"[""C03AA01"", ""C07AA12"", ""C07BA12""]"
313076	"[""N02BA04""]"
313151	"[""D10AB02""]"
313211	"[""L01AX03""]"
313627	"[""A11GA01"", ""B03AA02"", ""B03BA01""]"
315116	"[""A09AB03"", ""B05XA13""]"
317110	"[""C01DA14""]"
351875	"[""N05CM05""]"
352212	"[""B01AC21""]"
359450	"[""D02AA""]"
315102	"[""A01AA01""]"
801923	"[""V07AB"", ""B05XA08""]"
807726	"[""A09AA01""]"
826105	"[""N06AB03""]"
828265	"[""L04AG06""]"
830205	"[""D10AF01""]"
830538	"[""B01AC06"", ""N02BA01""]"
831701	"[""C03BA04""]"
835831	"[""G03BA03""]"
835894	"[""L04AD01""]"
206949	"[""M01AE04""]"
206985	"[""M01AE03""]"
401981	"[""J05AX07""]"
848178	"[""D07AC01""]"
848768	"[""N02AJ18""]"
853332	"[""D02AE01""]"
853498	"[""L04AC08""]"
854181	"[""S01BA01""]"
857379	"[""N02BE01"", ""R05DA03""]"
854256	"[""B01AB05""]"
856971	"[""N02BE01"", ""R05DA03""]"
208230	"[""R03DA04""]"
208137	"[""C01AA05""]"
209305	"[""A09AB04"", ""A12BA02""]"
209666	"[""D01AE18""]"
210421	"[""A07AA02""]"
2105797	"[""J01CA04""]"
210847	"[""A02AD01""]"
211695	"[""S01EC01""]"
212281	"[""A10BG01""]"
212957	"[""L04AD01""]"
