rxcui,drug_name,tty,production,new_final,audit_verdict,audit_recommended
744636,amlodipine 5 MG / olmesartan medoxomil 40 MG Oral Tablet [Azor],SBD,C08CA01|C09DB02,C09DB02,,
745302,penicillin G sodium 100000 UNT/ML Injectable Solution,SCD,J01CE08|J01CE09,J01CE01,,
892118,neomycin 20 MG/ML Oral Solution [DriTail],SBD,A07AA01|D06AX04|S01AA03,A07AA01,,
891522,ascorbic acid 100 MG / biotin 0.15 MG / calcium pantothenate 5 MG / folic acid 1 MG / niacin 20 MG / pyridoxine 10 MG / riboflavin 1.7 MG / thiamine mononitrate 1.5 MG / vitamin B12 0.006 MG Oral Capsule,SCD,A11DA01|A11GA01|A11HA02|A11HA04|A11HA05|B03BA01|B03BB01,A11GA01|A11HA02|A11HA04|A11HA05|B03BA01|B03BB01,,
900138,dextran 70 1 MG/ML / glycerin 2 MG/ML / hypromellose 3 MG/ML Ophthalmic Solution,SCD,S01KA02,S01XA20,,
199870,capsaicin 0.00025 MG/MG Topical Gel,SCD,N01BX04,M02AB01,,
205234,calcium carbonate 550 MG / magnesium hydroxide 125 MG Oral Capsule,SCD,A02AA04|A12AA04,A02AD01,,
998426,acyclovir 50 MG/ML / hydrocortisone 10 MG/ML Topical Cream [Xerese],SBD,A01AC03|A07EA02|D06BB03|D07AA02|D07AB02|D07AB11|H02AB09|J05AB01|S01AD03|S01BA02,D07AA02,,
310869,hydrocortisone 10 MG/ML Topical Solution,SCD,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,D07AA02,,
348025,ascorbic acid 100 MG / D-biotin 0.3 MG / folic acid 1 MG / niacinamide 20 MG / pantothenic acid 10 MG / pyridoxine hydrochloride 10 MG / riboflavin 1.7 MG / thiamine 1.5 MG / vitamin B12 0.006 MG Oral Tablet,SCD,A11DA01|A11GA01|A11HA01|A11HA02|A11HA04|B03BA01|B03BB01,A11GA01|A11HA01|A11HA02|A11HA04|B03BA01|B03BB01,,
351179,sodium chloride 9 MG/ML Nasal Spray,SCD,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,R01AX,,
1988751,salicylic acid 1 MG/ML Topical Spray,SCD,D01AE12|N02BA04,D01AE12,,
687064,lamivudine 150 MG / nevirapine 200 MG / zidovudine 300 MG Oral Tablet,SCD,J05AF01|J05AF05|J05AG01,J05AR05,,
