rxcui,drug_name,tty,new_final,production
1926450,benzalkonium chloride 0.001 MG/MG Medicated Bar Soap,SCD,D08AJ01,D08AJ01|D08AJ08|R02AA16
1006409,chlorhexidine gluconate 20 MG/ML Topical Solution [Vet One],SBD,D08AC02,A01AB03|D08AC02|R02AA05
809572,calcium carbonate 1250 MG / cholecalciferol 125 UNT Oral Tablet,SCD,A12AX,A11CC05
859130,alprostadil 0.25 MG Urethral Suppository [Muse],SBD,G04BE01,C01EA01|G04BE01
1092422,diphenhydramine hydrochloride 25 MG Oral Capsule [Banophen],SBD,R06AA02,D04AA32|R06AA02
802696,copper sulfate 0.8 MG / ferrous fumarate 324 MG / folic acid 1 MG / magnesium sulfate 6.9 MG / manganese sulfate 1.3 MG / niacinamide 30 MG / pantothenic acid 10 MG / pyridoxine 5 MG / riboflavin 6 MG / sodium ascorbate 200 MG / thiamine 10 MG / vitamin B12 0.015 MG / zinc sulfate 18.2 MG Oral Capsule [Ferrocite Plus],SBD,B03AE04,A11DA01|A11HA01|A11HA02|A11HA04|A12CB01|B03BA01|B03BB01|V03AB20
211343,penciclovir 10 MG/ML Topical Cream [Denavir],SBD,D06BB06,D06BB06|J05AB13
402250,168 HR estradiol 0.00188 MG/HR / levonorgestrel 0.000625 MG/HR Transdermal System,SCD,G03FA11,G03CA03
359930,guaifenesin 800 MG / phenylephrine hydrochloride 20 MG Extended Release Oral Tablet,SCD,R01BA03|R05CA03,R05CA03
1437709,brimonidine 0.0033 MG/MG Topical Gel [Mirvaso],SBD,D11AX21,S01EA05
