rxcui,drug_name,tty,current_final,production,bucket,qa_prior,qa_cat
1437300,benzalkonium chloride 0.0013 MG/MG / menthol 0.01 MG/MG / petrolatum 0.97 MG/MG Topical Ointment [Lysimax],SBD,D08AJ01|D09AA11,D08AJ01|D08AJ08|R02AA16,A2-combo-multi,,
1440021,dimethicone 60 MG/ML Topical Cream [Dove DermaSeries],SBD,D02AA,P03AX05,A4-combo-single,,
1537019,aspirin 500 MG / caffeine 60 MG Effervescent Oral Tablet,SCD,N02BA51,N06BC01,A4-combo-single,,
1544281,nitric oxide 0.5 % / nitrogen 99.5 % Gas for Inhalation,SCD,R07AX01,R07AX01|V03AN04,A4-combo-single,,
618028,amoxicillin 120 MG/ML / clavulanate 8.58 MG/ML Oral Suspension [Augmentin],SBD,J01CR02,J01CA04,A4-combo-single,,
617339,amoxicillin 50 MG/ML / clavulanate 12.5 MG/ML Oral Suspension [Augmentin],SBD,J01CR02,J01CA04,A4-combo-single,,
657561,bacitracin 0.4 UNT/MG / hydrocortisone 0.01 MG/MG / neomycin 0.0035 MG/MG / polymyxin B 5 UNT/MG Topical Ointment,SCD,C05AA01|D06AX04|D06AX05|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01,A01AC03|A07AA01|A07EA02|D06AX04|D07AA02|D07AB02|D07AB11|H02AB09|S01AA03|S01BA02,A2-combo-multi,,
685578,50 ML clindamycin 12 MG/ML Injection [Cleocin],SBD,J01FF01,D10AF01|J01FF01,A4-combo-single,,
705133,nitroglycerin 0.4 MG/ACTUAT Mucosal Spray [NitroMist],SBD,C01DA02,C01DA02|C05AE01,A4-combo-single,,
707381,sodium chloride 6.5 MG/ML Nasal Spray [Deep Sea],SBD,R01AX,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A4-combo-single,,
702503,hydrocortisone 10 MG/ML Topical Spray [Cortaid],SBD,D07AA02,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A4-combo-single,,
729768,ketoconazole 20 MG/ML Topical Foam [Extina],SBD,D01AC08,D01AC08|J02AB02,A4-combo-single,,
749855,{7 (ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norethindrone 0.75 MG Oral Tablet) / 7 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) } Pack [Ortho-Novum 7/7/7 21 Day],BPCK,G03AC01|G03CA01|G03DC02|L02AA03,G03AA05|G03FA01,A2-combo-multi,,
749874,{10 (ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet) / 11 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) } Pack,GPCK,G03AC01|G03CA01|G03DC02|L02AA03,G03AA05,A2-combo-multi,,
800341,alanine 6.98 MG/ML / arginine 12.3 MG/ML / aspartate 5.27 MG/ML / glutamate 8.2 MG/ML / glycine 3.85 MG/ML / histidine 3.12 MG/ML / isoleucine 7.6 MG/ML / leucine 12 MG/ML / lysine 6.77 MG/ML / methionine 1.8 MG/ML / phenylalanine 4.27 MG/ML / proline 8.12 MG/ML / serine 4.95 MG/ML / taurine 0.7 MG/ML / threonine 5.12 MG/ML / tryptophan 1.8 MG/ML / tyrosine 0.44 MG/ML / valine 6.73 MG/ML Injectable Solution,SCD,B05BA01,B05CX03|B05XB03|N06AX02|V03AB26,A4-combo-single,,
880890,{1 (70000 MG) (salicylic acid 60 MG/ML Topical Foam [Salvax]) / 1 (70000 MG) (urea 400 MG/ML Topical Foam [Hydro 40]) } Pack [Salvax Duo],BPCK,B05BC02|D01AE12|D02AE01|N02BA04|N02BA12|S01BC08|V04CX05,D01AE12|D02AE01|N02BA04,A2-combo-multi,,
899257,chlorpheniramine maleate 0.8 MG/ML / methscopolamine nitrate 0.25 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution,SCD,A03BB03|R01BA02|R06AB04,R01BA02|R06AB04,A2-combo-multi,,
724863,armodafinil 50 MG Oral Tablet,SCD,N06BA13,N06BA07|N06BA13,A3-single-single,,
800345,"alanine 6.98 MG/ML / arginine 12.3 MG/ML / aspartate 5.27 MG/ML / glutamate 8.2 MG/ML / glycine 3.85 MG/ML / histidine 3.12 MG/ML / isoleucine 7.6 MG/ML / leucine 12 MG/ML / lysine 6.77 MG/ML / methionine 1.8 MG/ML / phenylalanine 4.27 MG/ML / proline 8.12 MG/ML / serine 4.95 MG/ML / taurine 0.7 MG/ML / threonine 5.12 MG/ML / tryptophan 1.8 MG/ML / tyrosine 0.44 MG/ML / valine 6.73 MG/ML Injectable Solution [Aminosyn-PF 10 %, Sulfite-Free]",SBD,B05BA01,B05CX03|B05XB03|N06AX02|V03AB26,A4-combo-single,,
797654,ascorbic acid 80 MG / biotin 0.03 MG / calcium carbonate 200 MG / cupric oxide 3 MG / ferrous fumarate 60 MG / folic acid 1 MG / magnesium oxide 100 MG / niacinamide 17 MG / pantothenic acid 7 MG / riboflavin 1.6 MG / thiamine 1.5 MG / vitamin A 4000 UNT / vitamin B12 0.0025 MG / vitamin B6 4 MG / vitamin E 400 UNT / zinc oxide 25 MG Oral Tablet [Prenatal Rx 1],SBD,A02AA02|A02AC01|A06AD02|A11CA01|A11DA01|A11GA01|A11HA01|A11HA03|A11HA04|A11HA05|A12AA04|A12CC10|B03AA02|B03BA01|B03BB01,A11CA01|A11DA01|A11GA01|A11HA01|A11HA03|A11HA04|A11HA05|B03BA01|B03BB01,A2-combo-multi,,
308493,bacitracin 0.4 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG Ophthalmic Ointment,SCD,S01AA03,A07AA01|D06AX04|S01AA03,A4-combo-single,,
308799,brompheniramine 2 MG / phenylephrine 10 MG / phenyltoloxamine 25 MG Extended Release Oral Capsule,SCD,R01BA03|R06AB01,R06AB01,A2-combo-multi,,
312218,papaverine 200 MG Oral Tablet,SCD,A03AD01|G04BE02,G04BE02,A1-single-multi,,
312601,prednisolone 2 MG/ML / sulfacetamide 100 MG/ML Ophthalmic Solution,SCD,S01AB04|S01BA04|S01CB02|S03BA02,A07EA01|D10AB02|H02AB06|S01BA04|S03BA02,A2-combo-multi,,
1088970,codeine phosphate 1 MG/ML / guaifenesin 20 MG/ML / pseudoephedrine hydrochloride 3.75 MG/ML Oral Suspension [Zodryl DEC],SBD,R05FA02,R01BA02|R05CA03|R05DA04,A4-combo-single,,
206549,hydrocortisone 5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [Otobiotic],SBD,S02AA11|S02BA01|S03AA03,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A2-combo-multi,,
800062,calcium chloride 0.00014 MEQ/ML / glucose 1 MG/ML / magnesium chloride 0.0000245 MEQ/ML / sodium chloride 0.00368 MEQ/ML / sodium lactate 0.0016 MEQ/ML Intraperitoneal Solution,SCD,B05DB,A12CA01|A12CC01|B05BA03|B05BB01|B05CB01|B05XA03|B05XA07|G01AD01|S01XA03|V06DC01,A4-combo-single,,
748866,{6 (ethinyl estradiol 0.03 MG / levonorgestrel 0.05 MG Oral Tablet) / 10 (ethinyl estradiol 0.03 MG / levonorgestrel 0.125 MG Oral Tablet) / 5 (ethinyl estradiol 0.04 MG / levonorgestrel 0.075 MG Oral Tablet) } Pack,GPCK,G03AC03|G03AD01|G03CA01|L02AA03,G03AC03|G03CA01,A2-combo-multi,,
707359,sodium chloride 6.5 MG/ML Nasal Spray [Ayr Saline Nasal],SBD,R01AX,A12CA01|B05BB01|B05CB01|B05XA03|S01XA03,A4-combo-single,CHANGE_CORRECT,
796544,inositol 141 MG / niacin 500 MG Oral Capsule,SCD,A11JA,A11HA07,A4-combo-single,,
861663,24 HR nitroglycerin 0.4 MG/HR Transdermal System [Minitran],SBD,C01DA02|C05AE01,C01DA02,A2-combo-multi,,
198471,aspirin 500 MG Oral Tablet,SCD,N02BA01,B01AC06|N02BA01|N02BA51,A3-single-single,,
891820,ascorbic acid 226 MG / cuprous oxide 0.8 MG / dl-alpha tocopheryl acetate 200 UNT / lutein 5 MG / zinc oxide 34.8 MG Oral Capsule [PreserVision with Lutein],SBD,A11JB,A11GA01|A11HA03,A4-combo-single,,
1995011,diclofenac sodium 0.015 MG/MG Medicated Patch,SCD,D11AX18|M02AA15,M01AB05|M02AA15|S01BC03,A2-combo-multi,,
206369,hydrocortisone 10 MG/ML Topical Lotion [Cetacort],SBD,C05AA01|D07AA02|D07AB02|D07AB11|D07AC16|D07XA01,A01AC03|A07EA02|D07AA02|D07AB02|D07AB11|H02AB09|S01BA02,A2-combo-multi,,
1087663,lysine 600 MG Oral Tablet,SCD,V06DD,B05XB03,A3-single-single,,
630062,guaifenesin 650 MG / phenylephrine hydrochloride 23.8 MG Extended Release Oral Tablet,SCD,R01BA03|R05CA03,R05CA03,A2-combo-multi,,
686497,glycerin 350 MG/ML Mucosal Spray,SCD,A01AD,A06AX01,A4-combo-single,,
629994,hydrofluoric acid 2 MG/ML / sodium fluoride 25 MG/ML Oral Foam,SCD,A01AA01|A12CD01,A01AA01,A2-combo-multi,,
702615,acetaminophen 500 MG / caffeine 65 MG Disintegrating Oral Tablet [Excedrin Quick Tab],SBD,N02BE01|N02BE51,N02BE01|N02BE51|N06BC01,A2-combo-multi,,
761998,{7 (ethinyl estradiol 0.035 MG / norethindrone 0.5 MG Oral Tablet) / 14 (ethinyl estradiol 0.035 MG / norethindrone 1 MG Oral Tablet) / 7 (inert ingredients 1 MG Oral Tablet) } Pack,GPCK,G03AC01|G03CA01|G03DC02|L02AA03,G03AA05,A2-combo-multi,,
731573,penicillin G benzathine 600000 UNT/ML Injectable Suspension [Bicillin L-A],SBD,J01CE01|J01CE08,J01CE08|J01CE09,A2-combo-multi,,
891136,aspirin 31200 MG Oral Tablet,SCD,B01AC06|N02BA01,B01AC06|N02BA01|N02BA51,A1-single-multi,,
968989,ivermectin 10 MG/ML Injectable Solution [Endo-Mectin],SBD,P02CF01,D11AX22|P02CF01,A4-combo-single,,
308897,calcium carbonate 270 MG / magnesium carbonate 97 MG Oral Tablet,SCD,A02AA01|A02AC01|A06AD01|A12AA04,A02AA01|A12AA04,A2-combo-multi,,
309390,coal tar 20 MG/ML / salicylic acid 40 MG/ML Medicated Shampoo,SCD,D05AA,D01AE12|N02BA04,A4-combo-single,,
309536,methylbenzethonium 0.00055 MG/MG Topical Powder,SCD,D08AJ08,D08AJ08|R02AA09,A4-combo-single,,
311998,nitrogen 99 % Gas for Inhalation,SCD,V03AN04,R07AX01|V03AN04,A3-single-single,,
2001358,acetaminophen 325 MG / benzhydrocodone 6.12 MG Oral Tablet,SCD,N02AJ22,N02BE01,A4-combo-single,,
343040,dexamethasone 0.75 MG Oral Tablet [Decadron],SBD,H02AB02,H02AB02|S01BA01,A3-single-single,,
