rxcui,atcprod_l4s,candidate_l5,coverage
647681,,,MISS
1604350,L01EX,L01EX08,COVERED
1539955,G03AC,G03AC01,COVERED
1536675,N02BA,N02BA01,COVERED
705836,,,MISS
1236277,S01XA,,COVERED
749880,,,MISS
686385,,,MISS
762816,,,MISS
763632,,,MISS
1601394,L01EF,L01EF01,COVERED
794012,,,MISS
1311662,D02AX,,COVERED
992679,,,MISS
1087335,,,MISS
797951,D01AE|D02AF,D01AE12,COVERED
1304988,G03AA,,COVERED
206324,,,MISS
899660,C01DA,C01DA02,COVERED
310132,C01CA,C01CA24,COVERED
198477,N02BA,N02BA01,COVERED
309916,D02AA,,COVERED
1241471,S01XA,,COVERED
312281,,,MISS
750187,,,MISS
998541,G01AF,G01AF04,COVERED
2045382,R03BA,R03BA09,COVERED
308282,,,MISS
308305,,,MISS
792582,B05XA,B05XA02,COVERED
206403,,,MISS
900528,N02BA,N02BA01,COVERED
312988,R01AX,,COVERED
991037,,,MISS
901833,,,MISS
312564,D08AG,D08AG02,COVERED
966566,,,MISS
2047428,N02BE,N02BE01,COVERED
315002,,,MISS
692774,,,MISS
792049,,,MISS
860943,,,MISS
312517,A12BA,A12BA01,COVERED
801648,B05BA,,COVERED
792051,M02AB,M02AB01,COVERED
205834,,,MISS
882506,R06AA,R06AA02,COVERED
314146,G03AA,,COVERED
309714,S01XA,,COVERED
806717,,,MISS
990999,S01EB,S01EB05,COVERED
310322,B03AA,B03AA07,COVERED
861689,J01CR,,COVERED
692658,,,MISS
745505,,,MISS
809533,A12AX,,COVERED
308304,,,MISS
312526,,,MISS
311888,S01CA,,COVERED
706868,S01AA,S01AA26,COVERED
309680,S01CA,,COVERED
2047875,,,MISS
312104,A03DB,,COVERED
359932,,,MISS
1086723,R01BA,R01BA03,COVERED
643496,A02AF,,COVERED
877513,L01XH,L01XH02,COVERED
701627,A11CB,,COVERED
762007,G03AA|G03AB,,COVERED
830530,,,MISS
996209,S01GA,S01GA02,COVERED
618654,,,MISS
723520,,,MISS
198604,D02AA,,COVERED
860945,,,MISS
312542,,,MISS
995195,,,MISS
997523,,,MISS
864650,S01AD,S01AD09,COVERED
998183,,,MISS
312013,C01DA,C01DA02,COVERED
318272,B01AC,B01AC06,COVERED
206347,D07AA,D07AA02,COVERED
763472,G04BE,G04BE01,COVERED
359939,,,MISS
750268,G03AA,,COVERED
800644,B05BB,,COVERED
308368,,,MISS
202020,,,MISS
314929,,,MISS
2048956,,,MISS
800400,,,MISS
207934,,,MISS
208593,,,MISS
312880,D11AF,,COVERED
208683,,,MISS
903309,H03AA,H03AA02,COVERED
211100,,,MISS
807277,J07AM,J07AM01,COVERED
348689,B03AE,,COVERED
2122900,,,MISS
1094059,,,MISS
210961,A12CC,A12CC10,COVERED
208423,S01KA,,COVERED
849612,B03AE,,COVERED
2118835,H02AB,H02AB02,COVERED
1094831,,,MISS
1094724,D08AX,D08AX08,COVERED
1099634,R05CA,R05CA03,COVERED
1099668,R01BA,R01BA02,COVERED
1189850,,,MISS
378788,G03FA,,COVERED
2003255,J05AR,J05AR12,COVERED
1232718,,,MISS
1100894,A12AX,,COVERED
1190538,A03BA,A03BA01,COVERED
858847,,,MISS
1232651,C01CA,C01CA06,COVERED
860435,,,MISS
1234333,D07XA,D07XA01,COVERED
1116547,V07AX,,COVERED
582753,D08AX,D08AX08,COVERED
1038830,,,MISS
1012177,,,MISS
1039250,,,MISS
1039353,,,MISS
1042852,,,MISS
1085658,,,MISS
1115800,A11JB,,COVERED
1085994,,,MISS
241713,,,MISS
1011752,C09XA,C09XA02,COVERED
1043399,M02AB,M02AB01,COVERED
1665002,,,MISS
1115886,,,MISS
1045420,D08AJ|D02AB,D08AJ08,COVERED
1658222,,,MISS
1116154,,,MISS
1150122,,,MISS
1190560,,,MISS
1232716,,,MISS
404554,,,MISS
2184132,,,MISS
1189640,B05BA,,COVERED
260285,,,MISS
245660,D02AB,,COVERED
204912,,,MISS
996697,,,MISS
1116183,B03AE,,COVERED
210751,,,MISS
2002590,D01AE,D01AE12,COVERED
244098,B05BB,,COVERED
1090525,,,MISS
2118829,H02AB,H02AB02,COVERED
800915,A06AD,A06AD13,COVERED
2174801,D04AA,D04AA32,COVERED
349115,,,MISS
830536,,,MISS
828381,C10AB,C10AB05,COVERED
244382,D10AA,,COVERED
1116294,C01CA,C01CA26,COVERED
211372,,,MISS
1112785,,,MISS
1149660,,,MISS
1099269,G03AA,,COVERED
848176,D07AC,D07AC01,COVERED
857830,,,MISS
1039446,,,MISS
210000,A02AF,,COVERED
607038,N02BF,N02BF02,COVERED
1099923,M02AC,,COVERED
1047797,,,MISS
1010739,N01BB,N01BB02,COVERED
1010749,N01BB,N01BB02,COVERED
105395,,,MISS
243461,,,MISS
1150291,A11JA,,COVERED
211680,,,MISS
1012570,,,MISS
1653440,,,MISS
1658707,,,MISS
1011749,,,MISS
1009375,,,MISS
577068,A12AX,,COVERED
1049280,D08AJ,D08AJ01,COVERED
251156,B03AA,B03AA07,COVERED
1088447,C01EX,,COVERED
1729545,,,MISS
858838,N02AJ,N02AJ23,COVERED
1046713,,,MISS
1665362,B01AC,B01AC06,COVERED
261314,P02CF,P02CF01,COVERED
603203,L01EB,L01EB02,COVERED
607018,N02BF,N02BF02,COVERED
1092209,,,MISS
346911,,,MISS
1087919,,,MISS
210754,,,MISS
240707,G03AA,G03AA09,COVERED
579443,,,MISS
1000143,,,MISS
1001751,A12AX,,COVERED
859063,M01AB,M01AB05,COVERED
1668032,,,MISS
1100907,N02BE,N02BE01,COVERED
543873,G01AC,G01AC30,COVERED
1744840,,,MISS
1085996,H02AB,H02AB08,COVERED
1795251,,,MISS
2184088,R01BA,R01BA02,COVERED
1870685,,,MISS
1744005,J05AR,J05AR03,COVERED
1918453,,,MISS
1868473,B05XA,B05XA02,COVERED
1868469,B05XA,B05XA02,COVERED
1245403,,,MISS
1869047,B03AA|G03AA,B03AA02,COVERED
1250949,,,MISS
1251022,,,MISS
1292364,,,MISS
1242397,R01BA,R01BA02,COVERED
1293853,,,MISS
1301959,,,MISS
1314654,,,MISS
1372918,,,MISS
1370754,,,MISS
1302656,J01AA,J01AA08,COVERED
1536447,,,MISS
1538280,,,MISS
1363363,P02CF,P02CF01,COVERED
1437306,R06AA,R06AA02,COVERED
1424307,R01BA,R01BA02,COVERED
1606488,,,MISS
1670322,L01BC,,COVERED
1551286,R05DB,R05DB10,COVERED
1745455,,,MISS
1789738,,,MISS
1648999,D07AB,D07AB09,COVERED
1874173,,,MISS
1789740,R06AA,R06AA02,COVERED
1250554,,,MISS
1792393,L01EX,L01EX08,COVERED
1359123,G03FA,,COVERED
1869595,H02AB,H02AB02,COVERED
1294338,,,MISS
1297833,,,MISS
1094015,J01RA,,COVERED
1244193,D01AE,D01AE12,COVERED
1312496,,,MISS
1362026,,,MISS
1369777,,,MISS
1926571,D11AC,,COVERED
1488218,,,MISS
1542825,,,MISS
1305100,D08AX,D08AX08,COVERED
1547121,,,MISS
1361402,N02BE,N02BE01,COVERED
1734777,,,MISS
1737724,,,MISS
1482679,D01AE,D01AE04,COVERED
