rxcui,final_codes,fix_source
794229,B01AC06,atcprod-confirmed
995125,R05DA04,atcprod-confirmed
309692,S01BA01,atcprod-confirmed
198303,H02AB08,atcprod-confirmed
204499,G03CB02,atcprod-confirmed
2049533,D04AB01,atcprod-confirmed
205717,H02AB02,atcprod-confirmed
998254,R01BA02,atcprod-confirmed
308724,L01XF03,atcprod-confirmed
993781,N02AJ06,atcprod-confirmed
899688,C01DA02,atcprod-confirmed
308411,N02BA01,atcprod-confirmed
205162,D01AE12,atcprod-confirmed
831391,D01AC02,atcprod-confirmed
866486,A02AC01,atcprod-confirmed
199055,P01AB01,atcprod-confirmed
351068,G03CB01,atcprod-confirmed
211591,D07AA02,atcprod-confirmed
211832,B01AC06,atcprod-confirmed
213502,L01XF02,atcprod-confirmed
215850,A12AA04,atcprod-confirmed
210111,A02AC01,atcprod-confirmed
1233694,D04AB07,atcprod-confirmed
1234240,G04BE01,atcprod-confirmed
1234539,D04AB07,atcprod-confirmed
580294,D01AC14,atcprod-confirmed
1038559,D09AA11,atcprod-confirmed
252006,M02AB01,atcprod-confirmed
1020364,D08AX08,atcprod-confirmed
1041882,D08AX08,atcprod-confirmed
243797,A11CA02,atcprod-confirmed
205843,J01CR04,atcprod-confirmed
836368,R03BB01,atcprod-confirmed
846127,D08AC02,atcprod-confirmed
209970,N01BA03,atcprod-promote-L4toL5
825321,D06BB03,atcprod-confirmed
1993067,D08AX01,atcprod-confirmed
997415,R01BA02,atcprod-confirmed
858346,M01AB05,atcprod-confirmed
1234546,D04AB07,atcprod-promote-L4toL5
1049179,R01BA02,atcprod-confirmed
1049371,D08AJ01,atcprod-confirmed
1049633,R06AA02,atcprod-confirmed
261281,N02BF01,atcprod-confirmed
1090076,R06AA02,atcprod-confirmed
1733865,D04AB06,atcprod-confirmed
1657013,L01FX04,atcprod-confirmed
1657362,J06BD01,atcprod-confirmed
1723996,D04AB01,atcprod-confirmed
1049095,D08AJ08,atcprod-confirmed
207273,C01DA02,atcprod-confirmed
1799434,C01DA02,atcprod-confirmed
1807552,B05XA03,atcprod-confirmed
1811763,G03AC01,atcprod-confirmed
1875237,D04AB01,atcprod-confirmed
197305,S02AA10,atcprod-confirmed
1242401,R01BA02,atcprod-confirmed
1245389,A12CC01,atcprod-confirmed
1246586,C05AA01|D04AB07,atcprod-promote-L4toL5
197703,J02AX01,atcprod-confirmed
1860239,A12BA01,atcprod-confirmed
1422172,D04AB01,atcprod-confirmed
197735,D06AX07,atcprod-confirmed
1812434,D05BA02,atcprod-confirmed
1801295,A12BA01,atcprod-confirmed
1247576,S01JA01,atcprod-confirmed
1298953,L01FD02,atcprod-confirmed
727995,B05XA02,atcprod-confirmed
312139,D01AC11,atcprod-confirmed
2056670,N02CD01,atcprod-confirmed
312882,D01AE12,atcprod-confirmed
636559,P01AB01,atcprod-confirmed
692836,N02BE01,atcprod-confirmed
763484,D04AB04,atcprod-confirmed
979415,R03AB03,atcprod-confirmed
310325,B03AA07,atcprod-confirmed
903316,H03AA02,atcprod-confirmed
91348,D08AX01,atcprod-confirmed
808357,N01BA05,atcprod-confirmed
310466,S01AA11,atcprod-confirmed
668606,L01XH01,atcprod-confirmed
727820,B05XA03,atcprod-confirmed
797023,H02AB02,atcprod-confirmed
309336,J01FF01,atcprod-confirmed
199159,L01XF01,atcprod-confirmed
706461,J01FF01,atcprod-confirmed
672149,L01EH01,atcprod-confirmed
798115,D10AF02,atcprod-confirmed
199012,A01AB02,atcprod-confirmed
313144,S01AB02,atcprod-confirmed
349351,D07AB08,atcprod-confirmed
212033,N02BA01,atcprod-confirmed
213088,J05AR01,atcprod-confirmed
606947,N02BE01,atcprod-confirmed
858798,N02AJ23,atcprod-confirmed
1000131,L02AB02,atcprod-confirmed
1038834,D08AJ01,atcprod-confirmed
243670,B01AC06,atcprod-confirmed
1052647,R01BA03,atcprod-promote-L4toL5
283077,H02AB06,atcprod-confirmed
1038741,D09AA11,atcprod-confirmed
829757,B05XA05,atcprod-confirmed
857430,R06AA04,atcprod-confirmed
1092447,R06AA02,atcprod-confirmed
1000487,G03CA57,atcprod-confirmed
1010035,N01BB02,atcprod-confirmed
1037204,D08AG02,atcprod-confirmed
1041780,D08AX08,atcprod-confirmed
106258,D07AA02,atcprod-confirmed
249469,A01AD07,atcprod-confirmed
1729511,D07AA02,atcprod-confirmed
1657066,L01FG01,atcprod-confirmed
608934,G01AF01,atcprod-confirmed
1011875,D10AF06,atcprod-promote-L4toL5
238851,D08AG02,atcprod-confirmed
198601,D04AB02,atcprod-confirmed
346508,C01EB03,atcprod-confirmed
377766,G01AF04,atcprod-confirmed
1193293,R01BA03,atcprod-promote-L4toL5
1745091,D04AB01,atcprod-confirmed
1294591,D04AA32,atcprod-promote-L4toL5
198116,A12BA01,atcprod-confirmed
1437725,R06AA02,atcprod-confirmed
1440002,G01AF04,atcprod-confirmed
1608253,G01AF01,atcprod-confirmed
1855057,J06BC03,atcprod-confirmed
1867552,A12BA01,atcprod-confirmed
1246528,C05AA01,atcprod-promote-L4toL5
1293861,D04AB07,atcprod-promote-L4toL5
1919094,L01EX10,atcprod-confirmed
1942959,L01FB01,atcprod-confirmed
1359360,D06AX04,atcprod-confirmed
1369756,R01BA02,atcprod-confirmed
141859,D06BB03,atcprod-confirmed
1490057,C01CA24,atcprod-confirmed
1593733,D04AB01,atcprod-confirmed
1869821,D11AX27,atcprod-confirmed
197804,M01AE01,atcprod-confirmed
1251688,D06BX01,atcprod-confirmed
1291083,R02AA06,atcprod-promote-L4toL5
1536931,R01BA03,atcprod-promote-L4toL5
1432261,N02BE01,atcprod-confirmed
700499,V03AB33,atcprod-confirmed
706872,S01AA26,atcprod-confirmed
749329,D10AD01,atcprod-confirmed
311431,A12CC10,atcprod-confirmed
1987646,D10AD01,atcprod-confirmed
647253,D01AC08,atcprod-confirmed
311678,D06BX01,atcprod-confirmed
308718,H02AB01,atcprod-confirmed
309288,B06AA04,atcprod-confirmed
1999657,R06AA09,atcprod-confirmed
308901,A02AC01,atcprod-confirmed
882536,G01AA10,atcprod-confirmed
198248,N01BA03,atcprod-confirmed
198488,N01BA05,atcprod-confirmed
205964,J01FF01,atcprod-confirmed
317145,D08AG02,atcprod-confirmed
979379,R03AB03,atcprod-confirmed
995613,B03AA07,atcprod-confirmed
312505,A12BA01,atcprod-confirmed
198252,J01AA07,atcprod-confirmed
1991509,A06AD02,atcprod-promote-L4toL5
1995293,N01BC01,atcprod-confirmed
200059,N05CM05,atcprod-confirmed
1089990,D08AJ01,atcprod-confirmed
198759,C04AC01,atcprod-confirmed
2048005,D04AB01,atcprod-confirmed
847225,H02AB02,atcprod-confirmed
2099778,D08AX01,atcprod-confirmed
2102837,D01AE12,atcprod-confirmed
211343,D06BB06,atcprod-confirmed
2181307,N02BE01,atcprod-confirmed
1095421,B03AA07,atcprod-confirmed
1101555,R01BA03,atcprod-promote-L4toL5
312990,B05CB01,atcprod-confirmed
209002,S01BA04,atcprod-confirmed
1148644,R05CA03,atcprod-confirmed
602427,G01AA10,atcprod-confirmed
1012345,D07XA01,atcprod-confirmed
1086474,R05CA02,atcprod-confirmed
1657074,L01FG01,atcprod-confirmed
211666,D06BX01,atcprod-confirmed
1115898,D10AF06,atcprod-promote-L4toL5
1046512,D04AB01,atcprod-confirmed
1048903,D01AE12,atcprod-confirmed
1049289,R06AA02,atcprod-confirmed
259586,B03AA07,atcprod-confirmed
