rxcui,drug_name,tty,our_value,resolver_value,provenance,who_check
1856273,"heparin, bovine",PIN,B01AB01,B01AB01|C05BA03|S01XA14,route_filter,UNCONFIRMED
1858994,insulin glargine / lixisenatide,MIN,A10AE54,A10AE54|A10BJ03|A10AE04,route_filter,UNCONFIRMED
1862101,"{60 (insulin, regular, human 12 UNT Inhalation Powder) / 60 (insulin, regular, human 4 UNT Inhalation Powder) / 60 (insulin, regular, human 8 UNT Inhalation Powder) } Pack",GPCK,A10AF01,A10AB01,route_filter,UNCONFIRMED
1939328,sofosbuvir / velpatasvir / voxilaprevir,MIN,J05AP56,J05AP56|J05AP08,route_filter,CONFIRMED
1992684,ertugliflozin / metformin,MIN,A10BD23,A10BD23|A10BK04|A10BA02,route_filter,CONFIRMED
1992825,ertugliflozin / sitagliptin,MIN,A10BD24,A10BD24|A10BK04|A10BH01,route_filter,CONFIRMED
20044,heparin calcium,PIN,B01AB01,B01AB01|C05BA03|S01XA14,route_filter,UNCONFIRMED
2017575,cytarabine / daunorubicin,MIN,L01XY01,L01XY01|L01BC01|L01DB02,route_filter,UNCONFIRMED
203211,diltiazem hydrochloride,PIN,C08DB01,C05AE03|C08DB01,route_filter,UNCONFIRMED
2046138,bevacizumab-awwb,PIN,S01LA08,L01FG01|S01LA08,route_filter,UNCONFIRMED
2046140,16 ML bevacizumab-awwb 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2046141,Mvasi,BN,S01LA08,L01FG01,route_filter,UNCONFIRMED
2046148,4 ML bevacizumab-awwb 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2056895,everolimus 1 MG Oral Tablet,SCD,L01EG02,L04AH02,route_filter,UNCONFIRMED
2100028,"{90 (insulin, regular, human 12 UNT Inhalation Powder) / 90 (insulin, regular, human 8 UNT Inhalation Powder) } Pack",GPCK,A10AF01,A10AB01,route_filter,UNCONFIRMED
2117292,dapagliflozin / metformin / saxagliptin,MIN,A10BD25,A10BD25|A10BK01|A10BA02|A10BH03,route_filter,CONFIRMED
2268037,bevacizumab-bvzr,PIN,S01LA08,L01FG01|S01LA08,route_filter,UNCONFIRMED
2268039,4 ML bevacizumab-bvzr 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2268040,Zirabev,BN,S01LA08,L01FG01,route_filter,UNCONFIRMED
2268044,4 ML bevacizumab-bvzr 25 MG/ML Injection [Zirabev],SBD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2268047,16 ML bevacizumab-bvzr 25 MG/ML Injection,SCD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2268048,16 ML bevacizumab-bvzr 25 MG/ML Injection [Zirabev],SBD,S01LA08,L01FG01,route_filter,UNCONFIRMED
2281864,empagliflozin / linagliptin / metformin,MIN,A10BD27,A10BD27|A10BH05|A10BK03|A10BA02,route_filter,CONFIRMED
2283229,bempedoic acid / ezetimibe,MIN,C10BA10,C10BA10|C10AX15|C10AX09,route_filter,CONFIRMED
235473,"heparin, porcine",PIN,B01AB01,B01AB01|C05BA03|S01XA14,route_filter,UNCONFIRMED
236025,"heparin sodium, bovine",PIN,B01AB01,B01AB01|C05BA03|S01XA14,route_filter,UNCONFIRMED
